reviewer,comment,reference,reference_type,exists_or_resolves,resolved_target,note
2,18,tab:dispatch_policy_gap,manuscript_label,True,tab:dispatch_policy_gap,OK
2,19,tab:feature_dictionary,manuscript_label,True,tab:feature_dictionary,OK
2,19,results/reviewer_feature_dictionary.csv,file,True,results/reviewer_feature_dictionary.csv,OK
2,20,results/path_buffer_single_driver_summary.csv,file,True,results/path_buffer_single_driver_summary.csv,OK
2,20,results/path_buffer_dispatch_summary.csv,file,True,results/path_buffer_dispatch_summary.csv,OK
2,20,results/path_buffer_baseline_comparison.csv,file,True,results/path_buffer_baseline_comparison.csv,OK
2,20,results/path_buffer_baseline_config.json,file,True,results/path_buffer_baseline_config.json,OK
2,21,paper/ieee_submission.tex,file,True,paper/ieee_submission.tex,OK
2,21,tab:domain_transfer,manuscript_label,True,tab:domain_transfer,OK
2,21,tab:external_data_audit,manuscript_label,True,tab:external_data_audit,OK
2,22,results/dispatch_uncertainty_summary.csv,file,True,results/dispatch_uncertainty_summary.csv,OK
2,23,scripts/run_model_policy_diagnostic.py,file,True,scripts/run_model_policy_diagnostic.py,OK
2,23,results/model_policy_diagnostic.csv,file,True,results/model_policy_diagnostic.csv,OK
2,24,tab:model_ablation,manuscript_label,True,tab:model_ablation,OK
2,25,scripts/run_dispatch_corridor_sensitivity.py,file,True,scripts/run_dispatch_corridor_sensitivity.py,OK
2,25,results/dispatch_corridor_sensitivity.csv,file,True,results/dispatch_corridor_sensitivity.csv,OK
2,25,tab:dispatch_corridor_sensitivity,manuscript_label,True,tab:dispatch_corridor_sensitivity,OK
2,26,tab:end_to_end_runtime,manuscript_label,True,tab:end_to_end_runtime,OK
2,26,scripts/build_runtime_resource_summary.py,file,True,scripts/build_runtime_resource_summary.py,OK
2,26,results/runtime_resource_summary.csv,file,True,results/runtime_resource_summary.csv,OK
2,26,scripts/profile_osrm_live_latency.py,file,True,scripts/profile_osrm_live_latency.py,OK
2,27,tab:scenario_assumptions,manuscript_label,True,tab:scenario_assumptions,OK
2,28,paper/README.md,file,True,paper/README.md,OK
2,28,scripts/run_reviewer_revision_evidence.py,file,True,scripts/run_reviewer_revision_evidence.py,OK
2,28,scripts/build_revision_artifact_manifest.py,file,True,scripts/build_revision_artifact_manifest.py,OK
